id;quantity;total_price;created;address;status;product_id;user_id
1;34384;7124;2021-03-24T08:12:02;lavender;CANCEL;1;2
2;35999;34472;2021-03-24T05:44:27;Corporate Legacy;CANCEL;2;2
3;82462;66011;2021-03-24T02:10:56;Supervisor Branch Concrete;CANCEL;3;2
4;14838;7098;2021-03-23T19:31:36;Cambridgeshire;COMPLETED;4;2
5;37922;82542;2021-03-24T01:30:54;Kyat implement;NEW;5;1
6;22657;98183;2021-03-23T17:54:36;backing up Orchestrator Checking Account;COMPLETED;6;2
7;11552;42167;2021-03-23T18:17:51;Kyat;CANCEL;7;1
8;19324;61775;2021-03-23T19:59:08;Saint Kitts and Nevis;COMPLETED;8;2
9;80010;60178;2021-03-23T18:22:33;RAM;NEW;9;2
10;90260;35834;2021-03-24T06:27:23;Fantastic Frozen Soap neural Spain;NEW;10;2
