id;name;description;price;brand;approval_number;instruction;manufacturer;type;valid_period;image;image_content_type;product_category_id
1;Generic Steel Tuna;website calculating;57374;monetize Principal navigate;wireless Computer;Legacy Dynamic magenta;THX actuating;deposit Division Rustic Steel Soap;withdrawal navigating Metical;../fake-data/blob/hipster.png;image/png;1
2;Incredible Infrastructure;Internal compressing;55080;initiative green;Malagasy Ariary Gloves;Drive neutral;Rustic Concrete Car;Computer Oklahoma Identity;throughput;../fake-data/blob/hipster.png;image/png;2
3;Village;Identity Vermont indigo;2024;Human New Mexico Implementation;Awesome Wooden Shirt;Ethiopia;withdrawal Rubber;Chips Bike Keyboard;Central Ergonomic Concrete Ball;../fake-data/blob/hipster.png;image/png;3
4;pixel Gorgeous Rubber Cheese quantifying;cross-platform;99001;South Dakota Underpass virtual;Stand-alone Computer efficient;Buckinghamshire;Practical AGP Implementation;wireless navigate grey;solution Automotive;../fake-data/blob/hipster.png;image/png;4
5;e-commerce Ergonomic Concrete Salad;Ergonomic;93852;Handcrafted;full-range;Consultant Chair;internet solution Operations Associate;Chicken;Personal Loan Account Mobility multi-byte;../fake-data/blob/hipster.png;image/png;5
6;clicks-and-mortar;Outdoors programming;52857;Industrial Rustic;magenta;transitional;optical Practical;Solutions interactive International;Square Home Loan Account Practical Frozen Shirt;../fake-data/blob/hipster.png;image/png;6
7;Sausages capacity;Administrator open system;94054;Ramp;executive;mobile;Sleek Gateway program;invoice index Borders;Pula;../fake-data/blob/hipster.png;image/png;7
8;copying;transmit;75593;pink clear-thinking;focus group Computers Home Loan Account;Brunei Dollar Electronics;turquoise Engineer;generating;index;../fake-data/blob/hipster.png;image/png;8
9;Home Loan Account killer;Wooden Belize Dollar;19638;Home Loan Account pixel;Zimbabwe Dollar Functionality;Small Specialist;mint green;ability;hack Buckinghamshire Frozen;../fake-data/blob/hipster.png;image/png;9
10;Awesome Cotton Salad;Unbranded Concrete Hat Orchard Agent;87062;deposit mint green time-frame;exuding Facilitator;Nebraska web services;Future Regional transmitting;Savings Account Directives bluetooth;efficient SCSI;../fake-data/blob/hipster.png;image/png;10
